"variable","percent.contribution","permutation.importance","ImpRank","PercContRank","modnr"
"glacierdist",0.6495,1.3453,13,13,388
"ADPEdist",0.4153,5.8296,7,14,388
"InTrough",0.0366,0,16,15,388
"PredictabilityDec5Years",0,1.7937,12,16,388
"DecemberIcePresence",0,0,15,17,388
"cont800dist",22.8943,19.7401,2,1,389
"cont300dist",21.0195,19.7401,1,2,389
"EMPEdist",15.9145,13.6662,3,3,389
"distToShore",9.7668,13.1601,4,4,389
"ADPEdist",5.5381,4.5554,7,5,389
"EMPEabund",5.4507,3.5431,11,6,389
"Persistence2Years",4.3967,5.5677,5,7,389
"PredictabilityOct5Years",3.5756,4.0493,9,8,389
"distNearestIceEdge",3.2996,5.0616,6,9,389
"DecemberIcePresence",3.0072,1.0123,12,10,389
"InTrough",2.1346,0.5062,14,11,389
"glacierdist",1.1425,3.6904,10,12,389
"meanslope",0.8696,4.5554,8,13,389
"ADPEabund",0.5049,0,16,14,389
"meanbathy",0.397,1.0123,13,15,389
"fastIceRatio",0.0886,0.1398,15,16,389
"PredictabilityDec5Years",0,0,17,17,389
"cont800dist",25.1758,20.442,2,1,390
"cont300dist",19.0314,18.7845,3,2,390
"EMPEdist",16.602,20.9945,1,3,390
"distToShore",11.4903,10.4972,4,4,390
"PredictabilityOct5Years",7.0219,6.0773,6,5,390
"fastIceRatio",5.007,2.2099,10,6,390
"ADPEdist",4.6271,4.9724,7,7,390
"EMPEabund",3.1116,3.8674,8,8,390
"Persistence2Years",2.9596,7.1823,5,9,390
"distNearestIceEdge",2.942,2.7624,9,10,390
"glacierdist",0.7347,0.5525,13,11,390
"InTrough",0.6907,1.105,11,12,390
"ADPEabund",0.6058,0.5525,12,13,390
"DecemberIcePresence",0,0,14,14,390
"PredictabilityDec5Years",0,0,15,15,390
"meanbathy",0,0,16,16,390
"meanslope",0,0,17,17,390
"cont300dist",24.7612,17.6871,3,1,391
"cont800dist",23.3758,19.0476,2,2,391
"EMPEdist",16.6731,19.7279,1,3,391
"distToShore",9.0995,7.483,5,4,391
"EMPEabund",5.9497,5.4422,6,5,391
"ADPEdist",4.8721,4.7619,9,6,391
"Persistence2Years",4.4266,5.4422,7,7,391
"distNearestIceEdge",3.6708,5.4422,8,8,391
"PredictabilityOct5Years",3.0451,8.8435,4,9,391
"glacierdist",1.1227,0.6803,14,10,391
"DecemberIcePresence",0.9072,0.6803,13,11,391
"InTrough",0.6558,0,15,12,391
"fastIceRatio",0.6042,1.3605,11,13,391
"ADPEabund",0.5109,0.6803,12,14,391
"meanslope",0.3248,2.7211,10,15,391
"meanbathy",4e-04,0,17,16,391
"PredictabilityDec5Years",0,0,16,17,391
"cont800dist",22.8943,22.4697,1,1,392
"cont300dist",21.0195,14.9798,3,2,392
"EMPEdist",15.9145,15.5559,2,3,392
"distToShore",9.7668,13.2514,4,4,392
"ADPEdist",5.5381,1.7284,12,5,392
"EMPEabund",5.4507,7.4899,5,6,392
"Persistence2Years",4.3967,3.4569,9,7,392
"PredictabilityOct5Years",3.5756,3.4569,10,8,392
"distNearestIceEdge",3.2996,5.7615,6,9,392
"DecemberIcePresence",3.0072,0,16,10,392
"InTrough",2.1346,0.5761,14,11,392
"glacierdist",1.1425,3.6246,8,12,392
"meanslope",0.8696,4.6092,7,13,392
"ADPEabund",0.5049,1.7284,11,14,392
"meanbathy",0.397,1.1523,13,15,392
"fastIceRatio",0.0886,0.1591,15,16,392
"PredictabilityDec5Years",0,0,17,17,392
"cont300dist",23.0934,15.3509,2,1,393
"cont800dist",20.8105,25,1,2,393
"distToShore",14.2755,7.8947,4,3,393
"EMPEabund",14.1495,5.2632,7,4,393
"EMPEdist",7.3513,13.5965,3,5,393
"distNearestIceEdge",6.3363,5.7018,6,6,393
"Persistence2Years",5.8438,6.5789,5,7,393
"PredictabilityOct5Years",2.215,3.9474,8,8,393
"meanslope",1.2998,3.0702,12,9,393
"meanbathy",1.2559,0,17,10,393
"fastIceRatio",1.2082,1.3158,14,11,393
"ADPEabund",1.0386,2.193,13,12,393
"glacierdist",0.6396,3.5088,10,13,393
"ADPEdist",0.4824,3.0702,11,14,393
"PredictabilityDec5Years",0,3.5088,9,15,393
"DecemberIcePresence",0,0,15,16,393
"InTrough",0,0,16,17,393
"cont300dist",24.7612,19.6275,2,1,394
"cont800dist",23.3758,22.4315,1,2,394
"EMPEdist",16.6731,16.2628,3,3,394
"distToShore",9.0995,10.6549,4,4,394
"EMPEabund",5.9497,5.6079,5,5,394
"ADPEdist",4.8721,3.3647,8,6,394
"Persistence2Years",4.4266,5.6079,6,7,394
"distNearestIceEdge",3.6708,3.3647,9,8,394
"PredictabilityOct5Years",3.0451,3.9255,7,9,394
"glacierdist",1.1227,2.2431,10,10,394
"DecemberIcePresence",0.9072,0.5608,15,11,394
"InTrough",0.6558,1.1216,14,12,394
"fastIceRatio",0.6042,1.6824,13,13,394
"ADPEabund",0.5109,1.6824,12,14,394
"meanslope",0.3248,1.8623,11,15,394
"meanbathy",4e-04,0,17,16,394
"PredictabilityDec5Years",0,0,16,17,394
"cont300dist",19.6073,24.7594,1,1,395
"fastIceRatio",18.5067,1.1516,11,2,395
"EMPEdist",18.1854,15.5466,3,3,395
"cont800dist",18.1762,23.032,2,4,395
"distToShore",7.3122,10.3644,4,5,395
"ADPEdist",3.3245,0.5758,15,6,395
"PredictabilityOct5Years",2.8098,4.0306,7,7,395
"EMPEabund",2.4018,5.758,5,8,395
"distNearestIceEdge",2.4004,3.4548,8,9,395
"Persistence2Years",2.103,5.758,6,10,395
"meanslope",1.7346,1.1516,13,11,395
"ADPEabund",1.6034,0.5758,14,12,395
"glacierdist",0.8317,1.1516,12,13,395
"DecemberIcePresence",0.5072,1.1516,10,14,395
"InTrough",0.4225,0,16,15,395
"PredictabilityDec5Years",0.0734,1.5383,9,16,395
"meanbathy",0,0,17,17,395
"cont800dist",22.8943,20.9561,1,1,396
"cont300dist",21.0195,19.8233,2,2,396
"EMPEdist",15.9145,18.6906,3,3,396
"distToShore",9.7668,10.1949,4,4,396
"ADPEdist",5.5381,5.6638,6,5,396
"EMPEabund",5.4507,3.9647,7,6,396
"Persistence2Years",4.3967,2.8319,10,7,396
"PredictabilityOct5Years",3.5756,0,17,8,396
"distNearestIceEdge",3.2996,6.2302,5,9,396
"DecemberIcePresence",3.0072,0.5664,13,10,396
"InTrough",2.1346,0.5664,14,11,396
"glacierdist",1.1425,3.5589,9,12,396
"meanslope",0.8696,3.9647,8,13,396
"ADPEabund",0.5049,1.1328,12,14,396
"meanbathy",0.397,1.6991,11,15,396
"fastIceRatio",0.0886,0.1564,15,16,396
"PredictabilityDec5Years",0,0,16,17,396
"cont800dist",22.8943,19.0447,1,1,397
"cont300dist",21.0195,17.3134,2,2,397
"EMPEdist",15.9145,15.005,3,3,397
"distToShore",9.7668,13.2736,4,4,397
"ADPEdist",5.5381,3.4627,10,5,397
"EMPEabund",5.4507,5.7711,5,6,397
"Persistence2Years",4.3967,4.6169,7,7,397
"PredictabilityOct5Years",3.5756,4.6169,8,8,397
"distNearestIceEdge",3.2996,5.7711,6,9,397
"DecemberIcePresence",3.0072,0,15,10,397
"InTrough",2.1346,0,16,11,397
"glacierdist",1.1425,3.4627,11,12,397
"meanslope",0.8696,4.6169,9,13,397
"ADPEabund",0.5049,1.7313,12,14,397
"meanbathy",0.397,1.1542,13,15,397
"fastIceRatio",0.0886,0.1594,14,16,397
"PredictabilityDec5Years",0,0,17,17,397
"cont800dist",22.8943,20.2989,1,1,398
"cont300dist",21.0195,15.3613,3,2,398
"EMPEdist",15.9145,15.3613,2,3,398
"distToShore",9.7668,12.6182,4,4,398
"ADPEdist",5.5381,4.9376,8,5,398
"EMPEabund",5.4507,7.132,5,6,398
"Persistence2Years",4.3967,4.9376,9,7,398
"PredictabilityOct5Years",3.5756,3.8403,10,8,398
"distNearestIceEdge",3.2996,5.4862,6,9,398
"DecemberIcePresence",3.0072,0,16,10,398
"InTrough",2.1346,0.5486,14,11,398
"glacierdist",1.1425,2.1945,11,12,398
"meanslope",0.8696,5.4862,7,13,398
"ADPEabund",0.5049,0.5486,13,14,398
"meanbathy",0.397,1.0972,12,15,398
"fastIceRatio",0.0886,0.1515,15,16,398
"PredictabilityDec5Years",0,0,17,17,398
"cont800dist",22.8943,15.4681,3,1,399
"cont300dist",21.0195,16.041,2,2,399
"EMPEdist",15.9145,16.6139,1,3,399
"distToShore",9.7668,15.4681,4,4,399
"ADPEdist",5.5381,5.156,8,5,399
"EMPEabund",5.4507,4.0103,10,6,399
"Persistence2Years",4.3967,7.4476,5,7,399
"PredictabilityOct5Years",3.5756,5.7289,7,8,399
"distNearestIceEdge",3.2996,6.3018,6,9,399
"DecemberIcePresence",3.0072,0,16,10,399
"InTrough",2.1346,0.5729,13,11,399
"glacierdist",1.1425,1.304,11,12,399
"meanslope",0.8696,4.5832,9,13,399
"ADPEabund",0.5049,0,15,14,399
"meanbathy",0.397,1.1458,12,15,399
"fastIceRatio",0.0886,0.1582,14,16,399
"PredictabilityDec5Years",0,0,17,17,399
"cont300dist",23.0934,15.0754,2,1,400
"cont800dist",20.8105,23.1156,1,2,400
"distToShore",14.2755,9.0452,4,3,400
"EMPEabund",14.1495,5.0251,7,4,400
"EMPEdist",7.3513,14.5729,3,5,400
"distNearestIceEdge",6.3363,8.0402,5,6,400
"Persistence2Years",5.8438,3.0151,10,7,400
"PredictabilityOct5Years",2.215,4.0201,9,8,400
"meanslope",1.2998,6.0302,6,9,400
"meanbathy",1.2559,0.5025,15,10,400
"fastIceRatio",1.2082,1.005,14,11,400
"ADPEabund",1.0386,1.005,13,12,400
"glacierdist",0.6396,2.5126,12,13,400
"ADPEdist",0.4824,4.5226,8,14,400
"PredictabilityDec5Years",0,2.5126,11,15,400
"DecemberIcePresence",0,0,16,16,400
"InTrough",0,0,17,17,400
"cont300dist",24.7612,19.5652,1,1,401
"cont800dist",23.3758,16.3043,3,2,401
"EMPEdist",16.6731,17.9348,2,3,401
"distToShore",9.0995,8.6957,4,4,401
"EMPEabund",5.9497,6.5217,6,5,401
"ADPEdist",4.8721,7.0652,5,6,401
"Persistence2Years",4.4266,5.4348,7,7,401
"distNearestIceEdge",3.6708,4.3478,9,8,401
"PredictabilityOct5Years",3.0451,4.3478,8,9,401
"glacierdist",1.1227,3.2609,10,10,401
"DecemberIcePresence",0.9072,1.087,14,11,401
"InTrough",0.6558,2.1739,11,12,401
"fastIceRatio",0.6042,1.6304,12,13,401
"ADPEabund",0.5109,1.087,13,14,401
"meanslope",0.3248,0.5435,15,15,401
"meanbathy",4e-04,0,17,16,401
"PredictabilityDec5Years",0,0,16,17,401
"cont800dist",22.9839,12.5,3,1,402
"cont300dist",19.7387,15.625,2,2,402
"EMPEdist",19.4608,20,1,3,402
"distToShore",11.3359,9.375,5,4,402
"PredictabilityOct5Years",6.5644,7.5,6,5,402
"ADPEdist",5.5464,3.125,8,6,402
"Persistence2Years",3.7072,9.375,4,7,402
"EMPEabund",3.4718,5.625,7,8,402
"fastIceRatio",2.7358,2.5,13,9,402
"distNearestIceEdge",1.7544,2.5,12,10,402
"meanbathy",0.8633,3.125,9,11,402
"meanslope",0.7095,1.875,15,12,402
"InTrough",0.5508,1.875,14,13,402
"ADPEabund",0.3924,2.5,10,14,402
"DecemberIcePresence",0.1847,2.5,11,15,402
"glacierdist",1e-04,0,17,16,402
"PredictabilityDec5Years",0,0,16,17,402
"cont300dist",24.7612,16.1491,3,1,403
"cont800dist",23.3758,19.8758,1,2,403
"EMPEdist",16.6731,18.0124,2,3,403
"distToShore",9.0995,9.9379,4,4,403
"EMPEabund",5.9497,5.5901,6,5,403
"ADPEdist",4.8721,4.9689,7,6,403
"Persistence2Years",4.4266,4.3478,8,7,403
"distNearestIceEdge",3.6708,4.3478,9,8,403
"PredictabilityOct5Years",3.0451,6.8323,5,9,403
"glacierdist",1.1227,3.7267,10,10,403
"DecemberIcePresence",0.9072,1.2422,13,11,403
"InTrough",0.6558,0.6211,14,12,403
"fastIceRatio",0.6042,1.8634,12,13,403
"ADPEabund",0.5109,1.8634,11,14,403
"meanslope",0.3248,0.6211,15,15,403
"meanbathy",4e-04,0,17,16,403
"PredictabilityDec5Years",0,0,16,17,403
"cont800dist",22.8943,16.3479,3,1,404
"cont300dist",21.0195,16.3479,2,2,404
"EMPEdist",15.9145,17.5156,1,3,404
"distToShore",9.7668,15.764,4,4,404
"ADPEdist",5.5381,3.5031,9,5,404
"EMPEabund",5.4507,4.087,8,6,404
"Persistence2Years",4.3967,2.9193,11,7,404
"PredictabilityOct5Years",3.5756,1.1677,13,8,404
"distNearestIceEdge",3.2996,7.0062,5,9,404
"DecemberIcePresence",3.0072,1.1677,12,10,404
"InTrough",2.1346,0.5839,15,11,404
"glacierdist",1.1425,4.6708,6,12,404
"meanslope",0.8696,4.6708,7,13,404
"ADPEabund",0.5049,2.9193,10,14,404
"meanbathy",0.397,1.1677,14,15,404
"fastIceRatio",0.0886,0.1612,16,16,404
"PredictabilityDec5Years",0,0,17,17,404
"cont800dist",28.4038,12.1795,4,1,405
"cont300dist",16.2236,19.2308,1,2,405
"EMPEdist",16.1761,14.1026,2,3,405
"ADPEdist",9.0022,5.7692,7,4,405
"distToShore",8.2127,13.4615,3,5,405
"PredictabilityOct5Years",7.0689,11.5385,5,6,405
"EMPEabund",3.0964,1.2821,13,7,405
"fastIceRatio",2.9652,1.2821,14,8,405
"distNearestIceEdge",2.4153,5.7692,8,9,405
"ADPEabund",1.9924,1.2821,12,10,405
"meanslope",1.8424,6.4103,6,11,405
"glacierdist",1.4461,1.9231,11,12,405
"Persistence2Years",0.7283,2.5641,10,13,405
"DecemberIcePresence",0.4026,2.5641,9,14,405
"meanbathy",0.024,0.641,15,15,405
"InTrough",0,0,16,16,405
"PredictabilityDec5Years",0,0,17,17,405
"cont300dist",24.7612,21.6755,1,1,406
"cont800dist",23.3758,19.9642,2,2,406
"EMPEdist",16.6731,16.5418,3,3,406
"distToShore",9.0995,8.5561,4,4,406
"EMPEabund",5.9497,4.5633,7,5,406
"ADPEdist",4.8721,5.7041,6,6,406
"Persistence2Years",4.4266,2.852,9,7,406
"distNearestIceEdge",3.6708,3.9928,8,8,406
"PredictabilityOct5Years",3.0451,7.4153,5,9,406
"glacierdist",1.1227,2.2816,10,10,406
"DecemberIcePresence",0.9072,1.1408,14,11,406
"InTrough",0.6558,1.7112,11,12,406
"fastIceRatio",0.6042,1.7112,12,13,406
"ADPEabund",0.5109,1.1408,13,14,406
"meanslope",0.3248,0.7492,15,15,406
"meanbathy",4e-04,0,17,16,406
"PredictabilityDec5Years",0,0,16,17,406
"cont800dist",22.8943,22.8799,1,1,407
"cont300dist",21.0195,17.4323,2,2,407
"EMPEdist",15.9145,15.2533,3,3,407
"distToShore",9.7668,10.8952,4,4,407
"ADPEdist",5.5381,4.3581,8,5,407
"EMPEabund",5.4507,4.9028,6,6,407
"Persistence2Years",4.3967,4.9028,7,7,407
"PredictabilityOct5Years",3.5756,3.8133,9,8,407
"distNearestIceEdge",3.2996,7.0819,5,9,407
"DecemberIcePresence",3.0072,0,15,10,407
"InTrough",2.1346,0,16,11,407
"glacierdist",1.1425,1.7928,11,12,407
"meanslope",0.8696,3.8133,10,13,407
"ADPEabund",0.5049,1.6343,12,14,407
"meanbathy",0.397,1.0895,13,15,407
"fastIceRatio",0.0886,0.1504,14,16,407
"PredictabilityDec5Years",0,0,17,17,407
"cont300dist",23.0934,12.931,3,1,408
"cont800dist",20.8105,19.8276,1,2,408
"distToShore",14.2755,8.1897,5,3,408
"EMPEabund",14.1495,6.4655,7,4,408
"EMPEdist",7.3513,13.3621,2,5,408
"distNearestIceEdge",6.3363,7.7586,6,6,408
"Persistence2Years",5.8438,8.1897,4,7,408
"PredictabilityOct5Years",2.215,5.1724,8,8,408
"meanslope",1.2998,5.1724,9,9,408
"meanbathy",1.2559,0.431,15,10,408
"fastIceRatio",1.2082,1.7241,13,11,408
"ADPEabund",1.0386,3.4483,10,12,408
"glacierdist",0.6396,2.5862,12,13,408
"ADPEdist",0.4824,3.4483,11,14,408
"PredictabilityDec5Years",0,1.2931,14,15,408
"DecemberIcePresence",0,0,16,16,408
"InTrough",0,0,17,17,408
"cont800dist",22.8943,18.8622,1,1,409
"cont300dist",21.0195,17.8143,3,2,409
"EMPEdist",15.9145,17.9707,2,3,409
"distToShore",9.7668,13.0987,4,4,409
"ADPEdist",5.5381,3.6676,9,5,409
"EMPEabund",5.4507,5.2395,7,6,409
"Persistence2Years",4.3967,5.7634,6,7,409
"PredictabilityOct5Years",3.5756,4.1916,8,8,409
"distNearestIceEdge",3.2996,6.2874,5,9,409
"DecemberIcePresence",3.0072,0,16,10,409
"InTrough",2.1346,0.5239,13,11,409
"glacierdist",1.1425,1.7204,11,12,409
"meanslope",0.8696,3.6676,10,13,409
"ADPEabund",0.5049,0,15,14,409
"meanbathy",0.397,1.0479,12,15,409
"fastIceRatio",0.0886,0.1447,14,16,409
"PredictabilityDec5Years",0,0,17,17,409
"cont800dist",22.8943,18.7206,2,1,410
"cont300dist",21.0195,16.4515,3,2,410
"EMPEdist",15.9145,18.7206,1,3,410
"distToShore",9.7668,13.615,4,4,410
"ADPEdist",5.5381,4.5383,7,5,410
"EMPEabund",5.4507,4.5383,8,6,410
"Persistence2Years",4.3967,5.1056,6,7,410
"PredictabilityOct5Years",3.5756,1.7019,12,8,410
"distNearestIceEdge",3.2996,6.8075,5,9,410
"DecemberIcePresence",3.0072,0.5673,14,10,410
"InTrough",2.1346,0,16,11,410
"glacierdist",1.1425,2.2692,10,12,410
"meanslope",0.8696,3.971,9,13,410
"ADPEabund",0.5049,1.7019,11,14,410
"meanbathy",0.397,1.1346,13,15,410
"fastIceRatio",0.0886,0.1566,15,16,410
"PredictabilityDec5Years",0,0,17,17,410
"cont800dist",22.8943,18.6948,1,1,411
"cont300dist",21.0195,17.6562,2,2,411
"EMPEdist",15.9145,17.1369,3,3,411
"distToShore",9.7668,12.9825,4,4,411
"ADPEdist",5.5381,4.6737,8,5,411
"EMPEabund",5.4507,5.7123,6,6,411
"Persistence2Years",4.3967,5.193,7,7,411
"PredictabilityOct5Years",3.5756,1.0386,13,8,411
"distNearestIceEdge",3.2996,6.7509,5,9,411
"DecemberIcePresence",3.0072,1.5579,11,10,411
"InTrough",2.1346,0.5193,15,11,411
"glacierdist",1.1425,2.7476,10,12,411
"meanslope",0.8696,3.1158,9,13,411
"ADPEabund",0.5049,1.0386,12,14,411
"meanbathy",0.397,1.0386,14,15,411
"fastIceRatio",0.0886,0.1434,16,16,411
"PredictabilityDec5Years",0,0,17,17,411
"cont300dist",24.7612,17.9775,2,1,412
"cont800dist",23.3758,18.5393,1,2,412
"EMPEdist",16.6731,16.8539,3,3,412
"distToShore",9.0995,10.1124,4,4,412
"EMPEabund",5.9497,8.427,5,5,412
"ADPEdist",4.8721,5.0562,8,6,412
"Persistence2Years",4.4266,5.618,6,7,412
"distNearestIceEdge",3.6708,3.3708,9,8,412
"PredictabilityOct5Years",3.0451,5.618,7,9,412
"glacierdist",1.1227,2.2472,10,10,412
"DecemberIcePresence",0.9072,0.5618,15,11,412
"InTrough",0.6558,1.1236,13,12,412
"fastIceRatio",0.6042,1.6854,12,13,412
"ADPEabund",0.5109,0.5618,14,14,412
"meanslope",0.3248,2.2472,11,15,412
"meanbathy",4e-04,0,17,16,412
"PredictabilityDec5Years",0,0,16,17,412
"cont800dist",25.1758,17.6471,3,1,413
"cont300dist",19.0314,22.3529,1,2,413
"EMPEdist",16.602,18.8235,2,3,413
"distToShore",11.4903,11.7647,4,4,413
"PredictabilityOct5Years",7.0219,7.0588,6,5,413
"fastIceRatio",5.007,2.3529,11,6,413
"ADPEdist",4.6271,2.9412,7,7,413
"EMPEabund",3.1116,2.9412,8,8,413
"Persistence2Years",2.9596,7.0588,5,9,413
"distNearestIceEdge",2.942,2.3529,10,10,413
"glacierdist",0.7347,1.1765,13,11,413
"InTrough",0.6907,1.1765,12,12,413
"ADPEabund",0.6058,2.3529,9,13,413
"DecemberIcePresence",0,0,14,14,413
"PredictabilityDec5Years",0,0,15,15,413
"meanbathy",0,0,16,16,413
"meanslope",0,0,17,17,413
"cont300dist",22.8726,16.3366,2,1,414
"cont800dist",20.9449,18.3168,1,2,414
"distToShore",14.3506,8.9109,4,3,414
"EMPEabund",14.1787,5.4455,7,4,414
"EMPEdist",7.2785,13.3663,3,5,414
"distNearestIceEdge",6.3686,5.4455,9,6,414
"Persistence2Years",5.8736,8.4158,5,7,414
"PredictabilityOct5Years",2.2263,5.4455,8,8,414
"meanslope",1.2818,6.4356,6,9,414
"meanbathy",1.2623,0.495,15,10,414
"fastIceRatio",1.2144,0.9901,14,11,414
"ADPEabund",1.0463,2.4752,11,12,414
"glacierdist",0.6495,1.4851,13,13,414
"ADPEdist",0.4153,3.9604,10,14,414
"InTrough",0.0366,0,17,15,414
"PredictabilityDec5Years",0,2.4752,12,16,414
"DecemberIcePresence",0,0,16,17,414
"cont800dist",22.8943,15.5067,4,1,415
"cont300dist",21.0195,16.0605,3,2,415
"EMPEdist",15.9145,17.1681,1,3,415
"distToShore",9.7668,17.1681,2,4,415
"ADPEdist",5.5381,2.7691,11,5,415
"EMPEabund",5.4507,4.4305,7,6,415
"Persistence2Years",4.3967,4.4305,8,7,415
"PredictabilityOct5Years",3.5756,3.8767,9,8,415
"distNearestIceEdge",3.2996,6.6457,5,9,415
"DecemberIcePresence",3.0072,0.5538,14,10,415
"InTrough",2.1346,0.5538,15,11,415
"glacierdist",1.1425,3.484,10,12,415
"meanslope",0.8696,4.9843,6,13,415
"ADPEabund",0.5049,1.1076,12,14,415
"meanbathy",0.397,1.1076,13,15,415
"fastIceRatio",0.0886,0.1529,16,16,415
"PredictabilityDec5Years",0,0,17,17,415
"cont800dist",22.8943,15.8545,2,1,416
"cont300dist",21.0195,16.4417,1,2,416
"EMPEdist",15.9145,15.2673,4,3,416
"distToShore",9.7668,15.8545,3,4,416
"ADPEdist",5.5381,1.7616,12,5,416
"EMPEabund",5.4507,5.872,6,6,416
"Persistence2Years",4.3967,5.2848,7,7,416
"PredictabilityOct5Years",3.5756,3.5232,10,8,416
"distNearestIceEdge",3.2996,7.0465,5,9,416
"DecemberIcePresence",3.0072,1.1744,13,10,416
"InTrough",2.1346,0.5872,15,11,416
"glacierdist",1.1425,4.2857,8,12,416
"meanslope",0.8696,4.1104,9,13,416
"ADPEabund",0.5049,1.7616,11,14,416
"meanbathy",0.397,1.1744,14,15,416
"fastIceRatio",0.0886,0,17,16,416
"PredictabilityDec5Years",0,0,16,17,416
"cont300dist",22.8726,17.8723,2,1,417
"cont800dist",20.9449,21.2766,1,2,417
"distToShore",14.3506,9.7872,4,3,417
"EMPEabund",14.1787,5.1064,8,4,417
"EMPEdist",7.2785,12.3404,3,5,417
"distNearestIceEdge",6.3686,5.9574,7,6,417
"Persistence2Years",5.8736,6.383,6,7,417
"PredictabilityOct5Years",2.2263,1.7021,12,8,417
"meanslope",1.2818,7.234,5,9,417
"meanbathy",1.2623,0.4255,16,10,417
"fastIceRatio",1.2144,1.2766,13,11,417
"ADPEabund",1.0463,2.1277,11,12,417
"glacierdist",0.6495,1.2766,14,13,417
"ADPEdist",0.4153,3.8298,9,14,417
"InTrough",0.0366,0.8511,15,15,417
"PredictabilityDec5Years",0,2.5532,10,16,417
"DecemberIcePresence",0,0,17,17,417
"cont300dist",24.7612,19.4595,2,1,418
"cont800dist",23.3758,20.5405,1,2,418
"EMPEdist",16.6731,15.6757,3,3,418
"distToShore",9.0995,10.8108,4,4,418
"EMPEabund",5.9497,5.9459,5,5,418
"ADPEdist",4.8721,4.8649,8,6,418
"Persistence2Years",4.4266,4.8649,9,7,418
"distNearestIceEdge",3.6708,5.4054,7,8,418
"PredictabilityOct5Years",3.0451,5.9459,6,9,418
"glacierdist",1.1227,2.1622,10,10,418
"DecemberIcePresence",0.9072,0.5405,14,11,418
"InTrough",0.6558,0,15,12,418
"fastIceRatio",0.6042,1.6216,11,13,418
"ADPEabund",0.5109,1.0811,12,14,418
"meanslope",0.3248,1.0811,13,15,418
"meanbathy",4e-04,0,17,16,418
"PredictabilityDec5Years",0,0,16,17,418
"cont800dist",22.8943,25.1436,1,1,419
"cont300dist",21.0195,17.9597,2,2,419
"EMPEdist",15.9145,15.9072,3,3,419
"distToShore",9.7668,10.4274,4,4,419
"ADPEdist",5.5381,1.5394,12,5,419
"EMPEabund",5.4507,4.1051,7,6,419
"Persistence2Years",4.3967,4.1051,8,7,419
"PredictabilityOct5Years",3.5756,3.5919,9,8,419
"distNearestIceEdge",3.2996,6.6708,5,9,419
"DecemberIcePresence",3.0072,0,16,10,419
"InTrough",2.1346,0.5131,14,11,419
"glacierdist",1.1425,2.1981,10,12,419
"meanslope",0.8696,5.1313,6,13,419
"ADPEabund",0.5049,1.5394,11,14,419
"meanbathy",0.397,1.0263,13,15,419
"fastIceRatio",0.0886,0.1417,15,16,419
"PredictabilityDec5Years",0,0,17,17,419
"cont300dist",22.8726,18.3099,2,1,420
"cont800dist",20.9449,23.9437,1,2,420
"distToShore",14.3506,6.1033,6,3,420
"EMPEabund",14.1787,5.1643,8,4,420
"EMPEdist",7.2785,13.615,3,5,420
"distNearestIceEdge",6.3686,7.0423,5,6,420
"Persistence2Years",5.8736,8.4507,4,7,420
"PredictabilityOct5Years",2.2263,2.3474,11,8,420
"meanslope",1.2818,5.6338,7,9,420
"meanbathy",1.2623,0.4695,14,10,420
"fastIceRatio",1.2144,0,17,11,420
"ADPEabund",1.0463,2.3474,10,12,420
"glacierdist",0.6495,1.8779,13,13,420
"ADPEdist",0.4153,1.8779,12,14,420
"InTrough",0.0366,0,16,15,420
"PredictabilityDec5Years",0,2.8169,9,16,420
"DecemberIcePresence",0,0,15,17,420
"cont300dist",24.7612,18.2353,2,1,421
"cont800dist",23.3758,21.7647,1,2,421
"EMPEdist",16.6731,15.2941,3,3,421
"distToShore",9.0995,8.8235,4,4,421
"EMPEabund",5.9497,4.1176,9,5,421
"ADPEdist",4.8721,6.4706,6,6,421
"Persistence2Years",4.4266,7.6471,5,7,421
"distNearestIceEdge",3.6708,3.5294,10,8,421
"PredictabilityOct5Years",3.0451,4.7059,8,9,421
"glacierdist",1.1227,5.2941,7,10,421
"DecemberIcePresence",0.9072,1.1765,12,11,421
"InTrough",0.6558,0.5882,13,12,421
"fastIceRatio",0.6042,1.7647,11,13,421
"ADPEabund",0.5109,0,15,14,421
"meanslope",0.3248,0.5882,14,15,421
"meanbathy",4e-04,0,17,16,421
"PredictabilityDec5Years",0,0,16,17,421
"cont800dist",22.8943,21.4004,1,1,422
"cont300dist",21.0195,19.1477,2,2,422
"EMPEdist",15.9145,15.2055,3,3,422
"distToShore",9.7668,8.4475,4,4,422
"ADPEdist",5.5381,5.0685,6,5,422
"EMPEabund",5.4507,3.379,10,6,422
"Persistence2Years",4.3967,3.9422,9,7,422
"PredictabilityOct5Years",3.5756,5.0685,7,8,422
"distNearestIceEdge",3.2996,7.3212,5,9,422
"DecemberIcePresence",3.0072,1.1263,13,10,422
"InTrough",2.1346,0.5632,15,11,422
"glacierdist",1.1425,2.4166,11,12,422
"meanslope",0.8696,4.5053,8,13,422
"ADPEabund",0.5049,1.1263,12,14,422
"meanbathy",0.397,1.1263,14,15,422
"fastIceRatio",0.0886,0.1555,16,16,422
"PredictabilityDec5Years",0,0,17,17,422
"cont800dist",22.8943,17.4741,2,1,423
"cont300dist",21.0195,19.5922,1,2,423
"EMPEdist",15.9145,16.4151,3,3,423
"distToShore",9.7668,11.1199,4,4,423
"ADPEdist",5.5381,4.9119,7,5,423
"EMPEabund",5.4507,5.2952,6,6,423
"Persistence2Years",4.3967,4.7657,8,7,423
